id,name,file,source_url,width,height
37114,Kit Profesional para Permanente Nº 1 – Cabellos Normales | Rizado Duradero en 3 Pasos - 210 ml,37114.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/kit_permanente_rizos.jpg?v=1765799217,1920,1920
37117,Líquido para permanente Nº1 (Normales) - 500 ml,37117.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/liquido_para_hacer_permanente_en_el_cabello.png?v=1765787411,2048,2048
37124,Kit Profesional para Permanente – Nº 2 (Cabello Teñido) - 210 ml,37124.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/kit_permanente_de_cabello_te_ido.webp?v=1765799306,2048,2048
37127,Líquido para permanente Nº2 (Cabello Teñido) - 500 ml,37127.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/liquido_permanente_para_cabello_te_ido.webp?v=1765787873,2048,2048
37134,"Kit Profesional para Permanente Nº3 – Cabello Dañado | Recupera, Riza y Repara - 210 ml",37134.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/kit_de_rizado_permanente_cabello_estropeado.webp?v=1765798974,2048,2048
37137,Líquido para permanente Nº3 (Cabello Dañado) - 500 ml,37137.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/liquido_permanente_rizos_da_ado.webp?v=1765788355,2048,2048
37213,Neutralizante para permanente - 100 ml,37213.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/neutralizante-permanente.webp?v=1728305168,2048,2048
37218,Neutralizante para permanente - 100 ml - 1000 ml,37218.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/37218_cf0eb9a3-5dc6-47a9-bfcb-8e07750a56ed.webp?v=1747292212,2048,2048
38014,Loción Capilar de Placenta Vegetal - 12x15 ml,38014.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/locion-capilar-placenta.jpg?v=1728305155,800,800
38018,Champú equilibrante - 1000 ml,38018.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-equilibrante-aloe-vera-valquer-1000ml.webp?v=1783682756,2048,2048
38028,Champú fortalecedor - 1000 ml,38028.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-fortalecedor-biotina-keratina-vegetal-aloe-vera-valquer-2.jpg?v=1786523906,2048,2048
38129,Champú Mandarina Sin Sal – 5000 ml,38129.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-sin-sal-mandarina.jpg?v=1728305134,2048,2048
38139,Champú melón sin sal - 5000 ml,38139.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/38139-T.jpg?v=1736512628,2048,2048
38218,Champú pH neutro - 1000 ml,38218.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/Champu_ph_neutro.png?v=1765355992,2048,2048
